PREDICTION RESULTS
=================

Video dia233_utt4.mp4: Ground Truth: sadness, Predicted: sad
Video dia165_utt4.mp4: Ground Truth: sadness, Predicted: surprise
Video dia174_utt14.mp4: Ground Truth: neutral, Predicted: surprise
Video dia112_utt5.mp4: Ground Truth: neutral, Predicted: worried
Video dia240_utt11.mp4: Ground Truth: neutral, Predicted: surprise
Video dia254_utt11.mp4: Ground Truth: disgust, Predicted: angry
Video dia94_utt1.mp4: Ground Truth: neutral, Predicted: angry
Video dia259_utt10.mp4: Ground Truth: disgust, Predicted: angry
Video dia254_utt13.mp4: Ground Truth: joy, Predicted: surprise
Video dia126_utt5.mp4: Ground Truth: neutral, Predicted: worried
Video dia174_utt16.mp4: Ground Truth: neutral, Predicted: neutral
Video dia249_utt5.mp4: Ground Truth: joy, Predicted: happy
Video dia249_utt4.mp4: Ground Truth: neutral, Predicted: surprise
Video dia174_utt17.mp4: Ground Truth: sadness, Predicted: neutral
Video dia126_utt4.mp4: Ground Truth: fear, Predicted: worried
Video dia254_utt12.mp4: Ground Truth: neutral, Predicted: worried
Video dia129_utt0.mp4: Ground Truth: joy, Predicted: happy
Video dia143_utt4.mp4: Ground Truth: neutral, Predicted: worried
Video dia143_utt5.mp4: Ground Truth: fear, Predicted: happy
Video dia129_utt1.mp4: Ground Truth: surprise, Predicted: worried
Video dia205_utt0.mp4: Ground Truth: surprise, Predicted: surprise
Video dia37_utt4.mp4: Ground Truth: anger, Predicted: worried
Video dia247_utt3.mp4: Ground Truth: joy, Predicted: neutral
Video dia154_utt1.mp4: Ground Truth: joy, Predicted: happy
Video dia180_utt8.mp4: Ground Truth: anger, Predicted: angry
Video dia100_utt13.mp4: Ground Truth: neutral, Predicted: happy
Video dia180_utt9.mp4: Ground Truth: disgust, Predicted: bored
Video dia174_utt18.mp4: Ground Truth: neutral, Predicted: neutral
Video dia154_utt0.mp4: Ground Truth: joy, Predicted: neutral
Video dia143_utt6.mp4: Ground Truth: surprise, Predicted: surprise
Video dia247_utt2.mp4: Ground Truth: neutral, Predicted: happy
Video dia205_utt1.mp4: Ground Truth: anger, Predicted: surprise
Video dia230_utt7.mp4: Ground Truth: neutral, Predicted: worried
Video dia143_utt2.mp4: Ground Truth: neutral, Predicted: happy
Video dia100_utt17.mp4: Ground Truth: neutral, Predicted: neutral
Video dia279_utt6.mp4: Ground Truth: neutral, Predicted: neutral
Video dia90_utt2.mp4: Ground Truth: surprise, Predicted: worried
Video dia143_utt3.mp4: Ground Truth: sadness, Predicted: neutral
Video dia37_utt2.mp4: Ground Truth: anger, Predicted: happy
Video dia90_utt0.mp4: Ground Truth: neutral, Predicted: neutral
Video dia279_utt4.mp4: Ground Truth: anger, Predicted: happy
Video dia100_utt14.mp4: Ground Truth: fear, Predicted: neutral
Video dia100_utt15.mp4: Ground Truth: fear, Predicted: neutral
Video dia279_utt5.mp4: Ground Truth: neutral, Predicted: neutral
Video dia90_utt1.mp4: Ground Truth: anger, Predicted: surprise
Video dia247_utt4.mp4: Ground Truth: surprise, Predicted: angry
Video dia37_utt3.mp4: Ground Truth: fear, Predicted: angry
Video dia269_utt1.mp4: Ground Truth: anger, Predicted: happy
Video dia240_utt6.mp4: Ground Truth: sadness, Predicted: happy
Video dia195_utt1.mp4: Ground Truth: neutral, Predicted: happy
Video dia259_utt9.mp4: Ground Truth: disgust, Predicted: angry
Video dia110_utt7.mp4: Ground Truth: joy, Predicted: happy
Video dia111_utt7.mp4: Ground Truth: sadness, Predicted: worried
Video dia210_utt9.mp4: Ground Truth: neutral, Predicted: happy
Video dia262_utt2.mp4: Ground Truth: joy, Predicted: happy
Video dia183_utt6.mp4: Ground Truth: neutral, Predicted: happy
Video dia210_utt8.mp4: Ground Truth: surprise, Predicted: surprise
Video dia125_utt22.mp4: Ground Truth: surprise, Predicted: worried
Video dia259_utt8.mp4: Ground Truth: neutral, Predicted: neutral
Video dia195_utt0.mp4: Ground Truth: fear, Predicted: worried
Video dia240_utt7.mp4: Ground Truth: joy, Predicted: happy
Video dia269_utt0.mp4: Ground Truth: neutral, Predicted: worried
Video dia68_utt13.mp4: Ground Truth: joy, Predicted: happy
Video dia269_utt2.mp4: Ground Truth: joy, Predicted: happy
Video dia237_utt4.mp4: Ground Truth: surprise, Predicted: surprise
Video dia111_utt4.mp4: Ground Truth: sadness, Predicted: happy
Video dia125_utt20.mp4: Ground Truth: sadness, Predicted: neutral
Video dia262_utt1.mp4: Ground Truth: joy, Predicted: neutral
Video dia183_utt4.mp4: Ground Truth: neutral, Predicted: angry
Video dia262_utt0.mp4: Ground Truth: neutral, Predicted: happy
Video dia183_utt5.mp4: Ground Truth: neutral, Predicted: angry
Video dia166_utt4.mp4: Ground Truth: sadness, Predicted: angry
Video dia125_utt21.mp4: Ground Truth: sadness, Predicted: neutral
Video dia111_utt5.mp4: Ground Truth: anger, Predicted: worried
Video dia120_utt16.mp4: Ground Truth: anger, Predicted: worried
Video dia68_utt14.mp4: Ground Truth: neutral, Predicted: happy
Video dia275_utt2.mp4: Ground Truth: neutral, Predicted: surprise
Video dia159_utt1.mp4: Ground Truth: anger, Predicted: worried
Video dia169_utt10.mp4: Ground Truth: anger, Predicted: worried
Video dia169_utt9.mp4: Ground Truth: anger, Predicted: happy
Video dia239_utt8.mp4: Ground Truth: neutral, Predicted: neutral
Video dia239_utt9.mp4: Ground Truth: neutral, Predicted: angry
Video dia13_utt2.mp4: Ground Truth: neutral, Predicted: neutral
Video dia169_utt8.mp4: Ground Truth: surprise, Predicted: surprise
Video dia159_utt0.mp4: Ground Truth: anger, Predicted: angry
Video dia120_utt17.mp4: Ground Truth: anger, Predicted: angry
Video dia189_utt1.mp4: Ground Truth: joy, Predicted: sad
Video dia275_utt1.mp4: Ground Truth: neutral, Predicted: surprise
Video dia237_utt2.mp4: Ground Truth: neutral, Predicted: neutral
Video dia13_utt0.mp4: Ground Truth: neutral, Predicted: worried
Video dia17_utt18.mp4: Ground Truth: neutral, Predicted: happy
Video dia166_utt3.mp4: Ground Truth: anger, Predicted: happy
Video dia166_utt2.mp4: Ground Truth: surprise, Predicted: angry
Video dia13_utt1.mp4: Ground Truth: neutral, Predicted: neutral
Video dia111_utt3.mp4: Ground Truth: anger, Predicted: angry
Video dia244_utt8.mp4: Ground Truth: anger, Predicted: neutral
Video dia237_utt3.mp4: Ground Truth: disgust, Predicted: surprise
Video dia133_utt7.mp4: Ground Truth: neutral, Predicted: surprise
Video dia97_utt7.mp4: Ground Truth: neutral, Predicted: happy
Video dia275_utt0.mp4: Ground Truth: neutral, Predicted: happy
Video dia189_utt0.mp4: Ground Truth: joy, Predicted: happy

EVALUATION METRICS
=================

Overall Accuracy: 0.12
Label: anger -> Precision: 0.00, Recall: 0.00, F1 Score: 0.00, Support: 28
Label: disgust -> Precision: 0.00, Recall: 0.00, F1 Score: 0.00, Support: 15
Label: sadness -> Precision: 0.00, Recall: 0.00, F1 Score: 0.00, Support: 20
Label: joy -> Precision: 0.00, Recall: 0.00, F1 Score: 0.00, Support: 23
Label: neutral -> Precision: 0.44, Recall: 0.22, F1 Score: 0.30, Support: 67
Label: surprise -> Precision: 0.35, Recall: 0.33, F1 Score: 0.34, Support: 24
Label: fear -> Precision: 0.00, Recall: 0.00, F1 Score: 0.00, Support: 14
