PREDICTION RESULTS
=================

Video Ses01F_script01_1_F037.mp4: Ground Truth: angry, Predicted: surprised
Video Ses01F_script02_2_F037.mp4: Ground Truth: surprised, Predicted: happy
Video Ses01M_script03_2_F028.mp4: Ground Truth: angry, Predicted: excited
Video Ses01M_script01_1_M038.mp4: Ground Truth: sad, Predicted: frustrated
Video Ses01F_script01_3_M020.mp4: Ground Truth: happy, Predicted: happy
Video Ses01F_script03_1_F030.mp4: Ground Truth: happy, Predicted: happy
Video Ses01F_script01_2_F014.mp4: Ground Truth: frustrated, Predicted: neutral
Video Ses01M_script02_1_M023.mp4: Ground Truth: neutral, Predicted: frustrated
Video Ses01M_impro01_F004.mp4: Ground Truth: frustrated, Predicted: neutral
Video Ses01M_script03_2_F003.mp4: Ground Truth: surprised, Predicted: happy
Video Ses01F_script02_2_M039.mp4: Ground Truth: surprised, Predicted: neutral
Video Ses01F_impro04_F027.mp4: Ground Truth: frustrated, Predicted: neutral
Video Ses01M_script02_1_F001.mp4: Ground Truth: frustrated, Predicted: neutral
Video Ses01F_impro05_F026.mp4: Ground Truth: angry, Predicted: neutral
Video Ses01M_script03_2_M037.mp4: Ground Truth: angry, Predicted: frustrated
Video Ses01F_script03_1_M013.mp4: Ground Truth: happy, Predicted: confused
Video Ses01F_script03_2_M040.mp4: Ground Truth: angry, Predicted: angry
Video Ses01F_impro04_M022.mp4: Ground Truth: neutral, Predicted: sad
Video Ses01M_script03_2_F033.mp4: Ground Truth: angry, Predicted: neutral
Video Ses01M_script01_1_F002.mp4: Ground Truth: surprised, Predicted: neutral
Video Ses01F_impro05_F016.mp4: Ground Truth: angry, Predicted: excited
Video Ses01F_script03_1_F002.mp4: Ground Truth: fearful, Predicted: happy
Video Ses01M_script01_1_F003.mp4: Ground Truth: surprised, Predicted: neutral
Video Ses01M_script03_2_F026.mp4: Ground Truth: angry, Predicted: frustrated
Video Ses01F_script02_2_F029.mp4: Ground Truth: frustrated, Predicted: sad
Video Ses01M_script01_1_M008.mp4: Ground Truth: frustrated, Predicted: sad
Video Ses01M_impro05_F003.mp4: Ground Truth: neutral, Predicted: neutral
Video Ses01M_script01_1_F001.mp4: Ground Truth: surprised, Predicted: neutral
Video Ses01M_script03_2_M039.mp4: Ground Truth: angry, Predicted: neutral
Video Ses01F_script03_1_F000.mp4: Ground Truth: fearful, Predicted: neutral
Video Ses01F_impro04_F014.mp4: Ground Truth: neutral, Predicted: neutral
Video Ses01F_script03_1_F001.mp4: Ground Truth: fearful, Predicted: fearful
Video Ses01M_script01_1_F000.mp4: Ground Truth: frustrated, Predicted: neutral
Video Ses01F_script01_1_M042.mp4: Ground Truth: frustrated, Predicted: happy
Video Ses01M_script01_1_F028.mp4: Ground Truth: frustrated, Predicted: neutral
Video Ses01M_script01_1_M035.mp4: Ground Truth: angry, Predicted: frustrated
Video Ses01F_impro01_M002.mp4: Ground Truth: frustrated, Predicted: neutral
Video Ses01M_script02_2_M040.mp4: Ground Truth: neutral, Predicted: neutral
Video Ses01M_script02_2_M044.mp4: Ground Truth: sad, Predicted: sad
Video Ses01M_impro04_F006.mp4: Ground Truth: neutral, Predicted: neutral
Video Ses01M_script03_2_M028.mp4: Ground Truth: angry, Predicted: neutral
Video Ses01M_impro01_M011.mp4: Ground Truth: frustrated, Predicted: neutral
Video Ses01F_impro05_F004.mp4: Ground Truth: frustrated, Predicted: neutral
Video Ses01F_script02_2_M026.mp4: Ground Truth: happy, Predicted: neutral
Video Ses01M_impro05_M026.mp4: Ground Truth: angry, Predicted: frustrated
Video Ses01F_script01_3_F009.mp4: Ground Truth: neutral, Predicted: neutral
Video Ses01F_script01_3_F021.mp4: Ground Truth: happy, Predicted: happy
Video Ses01M_script02_2_M053.mp4: Ground Truth: happy, Predicted: neutral
Video Ses01M_script02_1_M000.mp4: Ground Truth: excited, Predicted: happy
Video Ses01F_impro05_M033.mp4: Ground Truth: surprised, Predicted: neutral
Video Ses01M_impro04_F011.mp4: Ground Truth: neutral, Predicted: neutral
Video Ses01M_script01_1_M027.mp4: Ground Truth: frustrated, Predicted: happy
Video Ses01F_impro05_M032.mp4: Ground Truth: surprised, Predicted: neutral
Video Ses01M_script02_2_M035.mp4: Ground Truth: angry, Predicted: frustrated
Video Ses01F_impro07_M006.mp4: Ground Truth: excited, Predicted: happy
Video Ses01M_impro07_F024.mp4: Ground Truth: excited, Predicted: neutral
Video Ses01F_script01_1_F002.mp4: Ground Truth: surprised, Predicted: neutral
Video Ses01F_impro03_M018.mp4: Ground Truth: surprised, Predicted: neutral
Video Ses01F_script03_2_F027.mp4: Ground Truth: angry, Predicted: sad
Video Ses01M_script03_1_M022.mp4: Ground Truth: happy, Predicted: neutral
Video Ses01F_impro03_F005.mp4: Ground Truth: happy, Predicted: happy
Video Ses01M_script02_2_F014.mp4: Ground Truth: angry, Predicted: frustrated
Video Ses01F_script02_1_M010.mp4: Ground Truth: neutral, Predicted: surprised
Video Ses01M_script03_1_F002.mp4: Ground Truth: fearful, Predicted: neutral
Video Ses01F_script03_2_M013.mp4: Ground Truth: frustrated, Predicted: neutral
Video Ses01M_impro03_F013.mp4: Ground Truth: excited, Predicted: neutral
Video Ses01M_impro02_F013.mp4: Ground Truth: sad, Predicted: neutral
Video Ses01M_impro03_M018.mp4: Ground Truth: neutral, Predicted: neutral
Video Ses01M_impro07_M013.mp4: Ground Truth: happy, Predicted: excited
Video Ses01M_script03_1_F001.mp4: Ground Truth: fearful, Predicted: sad
Video Ses01M_impro02_F010.mp4: Ground Truth: sad, Predicted: neutral

EVALUATION METRICS
=================

Overall Accuracy: 0.26
Label: frustrated -> Precision: 0.00, Recall: 0.00, F1 Score: 0.00, Support: 18
Label: excited -> Precision: 0.45, Recall: 0.33, F1 Score: 0.38, Support: 15
Label: happy -> Precision: 0.32, Recall: 0.44, F1 Score: 0.37, Support: 18
Label: fearful -> Precision: 0.50, Recall: 0.08, F1 Score: 0.14, Support: 12
Label: neutral -> Precision: 0.18, Recall: 0.69, F1 Score: 0.28, Support: 16
Label: sad -> Precision: 0.42, Recall: 0.33, F1 Score: 0.37, Support: 15
Label: angry -> Precision: 0.75, Recall: 0.15, F1 Score: 0.25, Support: 20
Label: surprised -> Precision: 0.25, Recall: 0.07, F1 Score: 0.11, Support: 15
