PREDICTION RESULTS
=================

Video dia233_utt4.mp4: Ground Truth: sadness, Predicted: anger
Video dia174_utt6.mp4: Ground Truth: sadness, Predicted: surprise
Video dia239_utt2.mp4: Ground Truth: surprise, Predicted: concern
Video dia239_utt3.mp4: Ground Truth: neutral, Predicted: surprise
Video dia29_utt3.mp4: Ground Truth: surprise, Predicted: surprise
Video dia22_utt11.mp4: Ground Truth: neutral, Predicted: joy
Video dia230_utt8.mp4: Ground Truth: disgust, Predicted: disgust
Video dia131_utt6.mp4: Ground Truth: joy, Predicted: joy
Video dia254_utt16.mp4: Ground Truth: neutral, Predicted: anger
Video dia25_utt2.mp4: Ground Truth: sadness, Predicted: joy
Video dia240_utt16.mp4: Ground Truth: surprise, Predicted: neutral
Video dia165_utt3.mp4: Ground Truth: disgust, Predicted: sadness
Video dia174_utt13.mp4: Ground Truth: anger, Predicted: neutral
Video dia254_utt5.mp4: Ground Truth: anger, Predicted: neutral
Video dia100_utt18.mp4: Ground Truth: fear, Predicted: neutral
Video dia52_utt2.mp4: Ground Truth: neutral, Predicted: neutral
Video dia100_utt19.mp4: Ground Truth: sadness, Predicted: sadness
Video dia174_utt12.mp4: Ground Truth: neutral, Predicted: anger
Video dia165_utt2.mp4: Ground Truth: surprise, Predicted: sadness
Video dia112_utt3.mp4: Ground Truth: disgust, Predicted: neutral
Video dia25_utt3.mp4: Ground Truth: neutral, Predicted: joy
Video dia200_utt1.mp4: Ground Truth: anger, Predicted: sadness
Video dia131_utt5.mp4: Ground Truth: neutral, Predicted: joy
Video dia254_utt15.mp4: Ground Truth: anger, Predicted: surprise
Video dia200_utt3.mp4: Ground Truth: anger, Predicted: surprise
Video dia240_utt15.mp4: Ground Truth: sadness, Predicted: neutral
Video dia25_utt1.mp4: Ground Truth: neutral, Predicted: concern
Video dia52_utt0.mp4: Ground Truth: neutral, Predicted: neutral
Video dia254_utt6.mp4: Ground Truth: anger, Predicted: neutral
Video dia254_utt7.mp4: Ground Truth: surprise, Predicted: surprise
Video dia52_utt1.mp4: Ground Truth: disgust, Predicted: anger
Video dia200_utt2.mp4: Ground Truth: anger, Predicted: concern
Video dia254_utt14.mp4: Ground Truth: disgust, Predicted: sadness
Video dia131_utt4.mp4: Ground Truth: neutral, Predicted: joy
Video dia94_utt0.mp4: Ground Truth: surprise, Predicted: anger
Video dia254_utt10.mp4: Ground Truth: neutral, Predicted: joy
Video dia240_utt10.mp4: Ground Truth: surprise, Predicted: surprise
Video dia126_utt6.mp4: Ground Truth: neutral, Predicted: neutral
Video dia112_utt4.mp4: Ground Truth: surprise, Predicted: surprise
Video dia249_utt6.mp4: Ground Truth: neutral, Predicted: joy
Video dia165_utt4.mp4: Ground Truth: sadness, Predicted: sadness
Video dia174_utt14.mp4: Ground Truth: neutral, Predicted: sadness
Video dia112_utt5.mp4: Ground Truth: neutral, Predicted: anger
Video dia240_utt11.mp4: Ground Truth: neutral, Predicted: surprise
Video dia254_utt11.mp4: Ground Truth: disgust, Predicted: anger
Video dia94_utt1.mp4: Ground Truth: neutral, Predicted: anger
Video dia259_utt10.mp4: Ground Truth: disgust, Predicted: anger
Video dia254_utt13.mp4: Ground Truth: joy, Predicted: surprise
Video dia126_utt5.mp4: Ground Truth: neutral, Predicted: neutral
Video dia174_utt16.mp4: Ground Truth: neutral, Predicted: neutral
Video dia249_utt5.mp4: Ground Truth: joy, Predicted: surprise
Video dia249_utt4.mp4: Ground Truth: neutral, Predicted: joy
Video dia174_utt17.mp4: Ground Truth: sadness, Predicted: neutral
Video dia126_utt4.mp4: Ground Truth: fear, Predicted: fear
Video dia254_utt12.mp4: Ground Truth: neutral, Predicted: surprise
Video dia129_utt0.mp4: Ground Truth: joy, Predicted: neutral
Video dia143_utt4.mp4: Ground Truth: neutral, Predicted: neutral
Video dia143_utt5.mp4: Ground Truth: fear, Predicted: joy
Video dia129_utt1.mp4: Ground Truth: surprise, Predicted: surprise
Video dia205_utt0.mp4: Ground Truth: surprise, Predicted: surprise
Video dia37_utt4.mp4: Ground Truth: anger, Predicted: anger
Video dia247_utt3.mp4: Ground Truth: joy, Predicted: joy
Video dia154_utt1.mp4: Ground Truth: joy, Predicted: joy
Video dia180_utt8.mp4: Ground Truth: anger, Predicted: neutral
Video dia100_utt13.mp4: Ground Truth: neutral, Predicted: neutral
Video dia180_utt9.mp4: Ground Truth: disgust, Predicted: disgust
Video dia174_utt18.mp4: Ground Truth: neutral, Predicted: neutral
Video dia154_utt0.mp4: Ground Truth: joy, Predicted: neutral
Video dia143_utt6.mp4: Ground Truth: surprise, Predicted: surprise
Video dia247_utt2.mp4: Ground Truth: neutral, Predicted: joy
Video dia205_utt1.mp4: Ground Truth: anger, Predicted: surprise
Video dia230_utt7.mp4: Ground Truth: neutral, Predicted: anger
Video dia143_utt2.mp4: Ground Truth: neutral, Predicted: joy
Video dia100_utt17.mp4: Ground Truth: neutral, Predicted: sadness
Video dia279_utt6.mp4: Ground Truth: neutral, Predicted: neutral
Video dia90_utt2.mp4: Ground Truth: surprise, Predicted: surprise
Video dia143_utt3.mp4: Ground Truth: sadness, Predicted: joy
Video dia37_utt2.mp4: Ground Truth: anger, Predicted: joy
Video dia90_utt0.mp4: Ground Truth: neutral, Predicted: surprise
Video dia279_utt4.mp4: Ground Truth: anger, Predicted: joy
Video dia100_utt14.mp4: Ground Truth: fear, Predicted: neutral
Video dia100_utt15.mp4: Ground Truth: fear, Predicted: joy
Video dia279_utt5.mp4: Ground Truth: neutral, Predicted: anger
Video dia90_utt1.mp4: Ground Truth: anger, Predicted: surprise
Video dia247_utt4.mp4: Ground Truth: surprise, Predicted: anger
Video dia37_utt3.mp4: Ground Truth: fear, Predicted: neutral
Video dia269_utt1.mp4: Ground Truth: anger, Predicted: neutral
Video dia240_utt6.mp4: Ground Truth: sadness, Predicted: anger
Video dia195_utt1.mp4: Ground Truth: neutral, Predicted: surprise
Video dia259_utt9.mp4: Ground Truth: disgust, Predicted: anger
Video dia110_utt7.mp4: Ground Truth: joy, Predicted: joy
Video dia111_utt7.mp4: Ground Truth: sadness, Predicted: concern
Video dia210_utt9.mp4: Ground Truth: neutral, Predicted: joy
Video dia262_utt2.mp4: Ground Truth: joy, Predicted: surprise
Video dia183_utt6.mp4: Ground Truth: neutral, Predicted: joy
Video dia210_utt8.mp4: Ground Truth: surprise, Predicted: surprise
Video dia125_utt22.mp4: Ground Truth: surprise, Predicted: anger
Video dia259_utt8.mp4: Ground Truth: neutral, Predicted: joy
Video dia195_utt0.mp4: Ground Truth: fear, Predicted: surprise
Video dia240_utt7.mp4: Ground Truth: joy, Predicted: neutral
Video dia269_utt0.mp4: Ground Truth: neutral, Predicted: neutral
Video dia68_utt13.mp4: Ground Truth: joy, Predicted: joy
Video dia269_utt2.mp4: Ground Truth: joy, Predicted: joy
Video dia237_utt4.mp4: Ground Truth: surprise, Predicted: surprise
Video dia111_utt4.mp4: Ground Truth: sadness, Predicted: surprise
Video dia125_utt20.mp4: Ground Truth: sadness, Predicted: sadness
Video dia262_utt1.mp4: Ground Truth: joy, Predicted: surprise
Video dia183_utt4.mp4: Ground Truth: neutral, Predicted: neutral
Video dia262_utt0.mp4: Ground Truth: neutral, Predicted: joy
Video dia183_utt5.mp4: Ground Truth: neutral, Predicted: disgust
Video dia166_utt4.mp4: Ground Truth: sadness, Predicted: anger
Video dia125_utt21.mp4: Ground Truth: sadness, Predicted: sadness
Video dia111_utt5.mp4: Ground Truth: anger, Predicted: disgust
Video dia120_utt16.mp4: Ground Truth: anger, Predicted: neutral
Video dia68_utt14.mp4: Ground Truth: neutral, Predicted: neutral
Video dia275_utt2.mp4: Ground Truth: neutral, Predicted: surprise
Video dia159_utt1.mp4: Ground Truth: anger, Predicted: neutral
Video dia169_utt10.mp4: Ground Truth: anger, Predicted: surprise
Video dia169_utt9.mp4: Ground Truth: anger, Predicted: surprise
Video dia239_utt8.mp4: Ground Truth: neutral, Predicted: neutral
Video dia239_utt9.mp4: Ground Truth: neutral, Predicted: joy
Video dia13_utt2.mp4: Ground Truth: neutral, Predicted: surprise
Video dia169_utt8.mp4: Ground Truth: surprise, Predicted: surprise
Video dia159_utt0.mp4: Ground Truth: anger, Predicted: anger
Video dia120_utt17.mp4: Ground Truth: anger, Predicted: anger
Video dia189_utt1.mp4: Ground Truth: joy, Predicted: neutral
Video dia275_utt1.mp4: Ground Truth: neutral, Predicted: surprise
Video dia237_utt2.mp4: Ground Truth: neutral, Predicted: neutral
Video dia13_utt0.mp4: Ground Truth: neutral, Predicted: neutral
Video dia17_utt18.mp4: Ground Truth: neutral, Predicted: neutral
Video dia166_utt3.mp4: Ground Truth: anger, Predicted: joy
Video dia166_utt2.mp4: Ground Truth: surprise, Predicted: anger
Video dia13_utt1.mp4: Ground Truth: neutral, Predicted: neutral
Video dia111_utt3.mp4: Ground Truth: anger, Predicted: anger
Video dia244_utt8.mp4: Ground Truth: anger, Predicted: neutral
Video dia237_utt3.mp4: Ground Truth: disgust, Predicted: surprise
Video dia133_utt7.mp4: Ground Truth: neutral, Predicted: surprise
Video dia97_utt7.mp4: Ground Truth: neutral, Predicted: joy
Video dia275_utt0.mp4: Ground Truth: neutral, Predicted: joy
Video dia189_utt0.mp4: Ground Truth: joy, Predicted: surprise

EVALUATION METRICS
=================

Overall Accuracy: 0.32
Label: disgust -> Precision: 0.40, Recall: 0.13, F1 Score: 0.20, Support: 15
Label: surprise -> Precision: 0.29, Recall: 0.58, F1 Score: 0.38, Support: 24
Label: anger -> Precision: 0.16, Recall: 0.18, F1 Score: 0.17, Support: 28
Label: joy -> Precision: 0.28, Recall: 0.48, F1 Score: 0.35, Support: 23
Label: fear -> Precision: 0.33, Recall: 0.07, F1 Score: 0.12, Support: 14
Label: sadness -> Precision: 0.46, Recall: 0.30, F1 Score: 0.36, Support: 20
Label: neutral -> Precision: 0.49, Recall: 0.34, F1 Score: 0.40, Support: 67
