PREDICTION RESULTS
=================

Video dia233_utt4.mp4: Ground Truth: sadness, Predicted: sadness
Video dia169_utt18.mp4: Ground Truth: disgust, Predicted: neutral
Video dia175_utt4.mp4: Ground Truth: fear, Predicted: neutral
Video dia174_utt4.mp4: Ground Truth: sadness, Predicted: neutral
Video dia207_utt1.mp4: Ground Truth: sadness, Predicted: surprise
Video dia22_utt12.mp4: Ground Truth: joy, Predicted: joy
Video dia240_utt8.mp4: Ground Truth: neutral, Predicted: surprise
Video dia233_utt3.mp4: Ground Truth: neutral, Predicted: neutral
Video dia77_utt4.mp4: Ground Truth: sadness, Predicted: neutral
Video dia174_utt6.mp4: Ground Truth: sadness, Predicted: surprise
Video dia239_utt2.mp4: Ground Truth: surprise, Predicted: surprise
Video dia239_utt3.mp4: Ground Truth: neutral, Predicted: neutral
Video dia29_utt3.mp4: Ground Truth: surprise, Predicted: surprise
Video dia22_utt11.mp4: Ground Truth: neutral, Predicted: surprise
Video dia230_utt8.mp4: Ground Truth: disgust, Predicted: disgust
Video dia131_utt6.mp4: Ground Truth: joy, Predicted: surprise
Video dia254_utt16.mp4: Ground Truth: neutral, Predicted: neutral
Video dia25_utt2.mp4: Ground Truth: sadness, Predicted: sadness
Video dia240_utt16.mp4: Ground Truth: surprise, Predicted: neutral
Video dia165_utt3.mp4: Ground Truth: disgust, Predicted: fear
Video dia174_utt13.mp4: Ground Truth: anger, Predicted: joy
Video dia254_utt5.mp4: Ground Truth: anger, Predicted: anger
Video dia100_utt18.mp4: Ground Truth: fear, Predicted: neutral
Video dia52_utt2.mp4: Ground Truth: neutral, Predicted: anxiety
Video dia100_utt19.mp4: Ground Truth: sadness, Predicted: neutral
Video dia174_utt12.mp4: Ground Truth: neutral, Predicted: surprise
Video dia165_utt2.mp4: Ground Truth: surprise, Predicted: surprise
Video dia112_utt3.mp4: Ground Truth: disgust, Predicted: neutral
Video dia25_utt3.mp4: Ground Truth: neutral, Predicted: neutral
Video dia200_utt1.mp4: Ground Truth: anger, Predicted: fear
Video dia131_utt5.mp4: Ground Truth: neutral, Predicted: surprise
Video dia254_utt15.mp4: Ground Truth: anger, Predicted: neutral
Video dia200_utt3.mp4: Ground Truth: anger, Predicted: neutral
Video dia240_utt15.mp4: Ground Truth: sadness, Predicted: neutral
Video dia25_utt1.mp4: Ground Truth: neutral, Predicted: anger
Video dia52_utt0.mp4: Ground Truth: neutral, Predicted: neutral
Video dia254_utt6.mp4: Ground Truth: anger, Predicted: neutral
Video dia254_utt7.mp4: Ground Truth: surprise, Predicted: surprise
Video dia52_utt1.mp4: Ground Truth: disgust, Predicted: anger
Video dia200_utt2.mp4: Ground Truth: anger, Predicted: surprise
Video dia254_utt14.mp4: Ground Truth: disgust, Predicted: anger
Video dia131_utt4.mp4: Ground Truth: neutral, Predicted: neutral
Video dia94_utt0.mp4: Ground Truth: surprise, Predicted: surprise
Video dia254_utt10.mp4: Ground Truth: neutral, Predicted: neutral
Video dia240_utt10.mp4: Ground Truth: surprise, Predicted: surprise
Video dia126_utt6.mp4: Ground Truth: neutral, Predicted: neutral
Video dia112_utt4.mp4: Ground Truth: surprise, Predicted: surprise
Video dia249_utt6.mp4: Ground Truth: neutral, Predicted: neutral
Video dia165_utt4.mp4: Ground Truth: sadness, Predicted: surprise
Video dia174_utt14.mp4: Ground Truth: neutral, Predicted: sadness
Video dia112_utt5.mp4: Ground Truth: neutral, Predicted: neutral
Video dia240_utt11.mp4: Ground Truth: neutral, Predicted: neutral
Video dia254_utt11.mp4: Ground Truth: disgust, Predicted: disgust
Video dia94_utt1.mp4: Ground Truth: neutral, Predicted: joy
Video dia259_utt10.mp4: Ground Truth: disgust, Predicted: disgust
Video dia254_utt13.mp4: Ground Truth: joy, Predicted: surprise
Video dia126_utt5.mp4: Ground Truth: neutral, Predicted: neutral
Video dia174_utt16.mp4: Ground Truth: neutral, Predicted: neutral
Video dia249_utt5.mp4: Ground Truth: joy, Predicted: joy
Video dia249_utt4.mp4: Ground Truth: neutral, Predicted: neutral
Video dia174_utt17.mp4: Ground Truth: sadness, Predicted: neutral
Video dia126_utt4.mp4: Ground Truth: fear, Predicted: fear
Video dia254_utt12.mp4: Ground Truth: neutral, Predicted: surprise
Video dia129_utt0.mp4: Ground Truth: joy, Predicted: joy
Video dia143_utt4.mp4: Ground Truth: neutral, Predicted: surprise
Video dia143_utt5.mp4: Ground Truth: fear, Predicted: fear
Video dia129_utt1.mp4: Ground Truth: surprise, Predicted: surprise
Video dia205_utt0.mp4: Ground Truth: surprise, Predicted: surprise
Video dia37_utt4.mp4: Ground Truth: anger, Predicted: anger
Video dia247_utt3.mp4: Ground Truth: joy, Predicted: surprise
Video dia154_utt1.mp4: Ground Truth: joy, Predicted: neutral
Video dia180_utt8.mp4: Ground Truth: anger, Predicted: surprise
Video dia100_utt13.mp4: Ground Truth: neutral, Predicted: neutral
Video dia180_utt9.mp4: Ground Truth: disgust, Predicted: disgust
Video dia174_utt18.mp4: Ground Truth: neutral, Predicted: neutral
Video dia154_utt0.mp4: Ground Truth: joy, Predicted: surprise
Video dia143_utt6.mp4: Ground Truth: surprise, Predicted: surprise
Video dia247_utt2.mp4: Ground Truth: neutral, Predicted: neutral
Video dia205_utt1.mp4: Ground Truth: anger, Predicted: surprise
Video dia230_utt7.mp4: Ground Truth: neutral, Predicted: anger
Video dia143_utt2.mp4: Ground Truth: neutral, Predicted: joy
Video dia100_utt17.mp4: Ground Truth: neutral, Predicted: neutral
Video dia279_utt6.mp4: Ground Truth: neutral, Predicted: neutral
Video dia90_utt2.mp4: Ground Truth: surprise, Predicted: neutral
Video dia143_utt3.mp4: Ground Truth: sadness, Predicted: neutral
Video dia37_utt2.mp4: Ground Truth: anger, Predicted: anger
Video dia90_utt0.mp4: Ground Truth: neutral, Predicted: surprise
Video dia279_utt4.mp4: Ground Truth: anger, Predicted: anger
Video dia100_utt14.mp4: Ground Truth: fear, Predicted: surprise
Video dia100_utt15.mp4: Ground Truth: fear, Predicted: neutral
Video dia279_utt5.mp4: Ground Truth: neutral, Predicted: neutral
Video dia90_utt1.mp4: Ground Truth: anger, Predicted: surprise
Video dia247_utt4.mp4: Ground Truth: surprise, Predicted: neutral
Video dia37_utt3.mp4: Ground Truth: fear, Predicted: surprise
Video dia269_utt1.mp4: Ground Truth: anger, Predicted: anger
Video dia240_utt6.mp4: Ground Truth: sadness, Predicted: anger
Video dia195_utt1.mp4: Ground Truth: neutral, Predicted: joy
Video dia259_utt9.mp4: Ground Truth: disgust, Predicted: anger
Video dia110_utt7.mp4: Ground Truth: joy, Predicted: neutral
Video dia111_utt7.mp4: Ground Truth: sadness, Predicted: surprise
Video dia210_utt9.mp4: Ground Truth: neutral, Predicted: neutral
Video dia262_utt2.mp4: Ground Truth: joy, Predicted: surprise
Video dia183_utt6.mp4: Ground Truth: neutral, Predicted: joy
Video dia210_utt8.mp4: Ground Truth: surprise, Predicted: surprise
Video dia125_utt22.mp4: Ground Truth: surprise, Predicted: surprise
Video dia259_utt8.mp4: Ground Truth: neutral, Predicted: anger
Video dia195_utt0.mp4: Ground Truth: fear, Predicted: fear
Video dia240_utt7.mp4: Ground Truth: joy, Predicted: joy
Video dia269_utt0.mp4: Ground Truth: neutral, Predicted: neutral
Video dia68_utt13.mp4: Ground Truth: joy, Predicted: surprise
Video dia269_utt2.mp4: Ground Truth: joy, Predicted: neutral
Video dia237_utt4.mp4: Ground Truth: surprise, Predicted: surprise
Video dia111_utt4.mp4: Ground Truth: sadness, Predicted: neutral
Video dia125_utt20.mp4: Ground Truth: sadness, Predicted: neutral
Video dia262_utt1.mp4: Ground Truth: joy, Predicted: joy
Video dia183_utt4.mp4: Ground Truth: neutral, Predicted: neutral
Video dia262_utt0.mp4: Ground Truth: neutral, Predicted: neutral
Video dia183_utt5.mp4: Ground Truth: neutral, Predicted: neutral
Video dia166_utt4.mp4: Ground Truth: sadness, Predicted: fear
Video dia125_utt21.mp4: Ground Truth: sadness, Predicted: sadness
Video dia111_utt5.mp4: Ground Truth: anger, Predicted: anger
Video dia120_utt16.mp4: Ground Truth: anger, Predicted: neutral
Video dia68_utt14.mp4: Ground Truth: neutral, Predicted: surprise
Video dia275_utt2.mp4: Ground Truth: neutral, Predicted: neutral
Video dia159_utt1.mp4: Ground Truth: anger, Predicted: neutral
Video dia169_utt10.mp4: Ground Truth: anger, Predicted: surprise
Video dia169_utt9.mp4: Ground Truth: anger, Predicted: neutral
Video dia239_utt8.mp4: Ground Truth: neutral, Predicted: neutral
Video dia239_utt9.mp4: Ground Truth: neutral, Predicted: neutral
Video dia13_utt2.mp4: Ground Truth: neutral, Predicted: surprise
Video dia169_utt8.mp4: Ground Truth: surprise, Predicted: surprise
Video dia159_utt0.mp4: Ground Truth: anger, Predicted: anger
Video dia120_utt17.mp4: Ground Truth: anger, Predicted: anger
Video dia189_utt1.mp4: Ground Truth: joy, Predicted: surprise
Video dia275_utt1.mp4: Ground Truth: neutral, Predicted: neutral
Video dia237_utt2.mp4: Ground Truth: neutral, Predicted: neutral
Video dia13_utt0.mp4: Ground Truth: neutral, Predicted: surprise
Video dia17_utt18.mp4: Ground Truth: neutral, Predicted: neutral
Video dia166_utt3.mp4: Ground Truth: anger, Predicted: anger
Video dia166_utt2.mp4: Ground Truth: surprise, Predicted: surprise
Video dia13_utt1.mp4: Ground Truth: neutral, Predicted: neutral
Video dia111_utt3.mp4: Ground Truth: anger, Predicted: anger
Video dia244_utt8.mp4: Ground Truth: anger, Predicted: joy
Video dia237_utt3.mp4: Ground Truth: disgust, Predicted: disgust
Video dia133_utt7.mp4: Ground Truth: neutral, Predicted: neutral
Video dia97_utt7.mp4: Ground Truth: neutral, Predicted: anger
Video dia275_utt0.mp4: Ground Truth: neutral, Predicted: neutral
Video dia189_utt0.mp4: Ground Truth: joy, Predicted: joy

EVALUATION METRICS
=================

Overall Accuracy: 0.52
Label: disgust -> Precision: 0.88, Recall: 0.47, F1 Score: 0.61, Support: 15
Label: surprise -> Precision: 0.36, Recall: 0.79, F1 Score: 0.49, Support: 24
Label: anger -> Precision: 0.50, Recall: 0.39, F1 Score: 0.44, Support: 28
Label: joy -> Precision: 0.53, Recall: 0.39, F1 Score: 0.45, Support: 23
Label: fear -> Precision: 0.60, Recall: 0.43, F1 Score: 0.50, Support: 14
Label: sadness -> Precision: 0.80, Recall: 0.20, F1 Score: 0.32, Support: 20
Label: neutral -> Precision: 0.59, Recall: 0.66, F1 Score: 0.62, Support: 67
