PREDICTION RESULTS
=================

Sample 0: Ground Truth: sadness, Predicted: sadness
Sample 136: Ground Truth: fear, Predicted: neutral
Sample 137: Ground Truth: anger, Predicted: joy
Sample 138: Ground Truth: sadness, Predicted: joy
Sample 139: Ground Truth: neutral, Predicted: joy
Sample 140: Ground Truth: disgust, Predicted: anger
Sample 141: Ground Truth: joy, Predicted: neutral
Sample 142: Ground Truth: sadness, Predicted: neutral
Sample 143: Ground Truth: neutral, Predicted: joy
Sample 144: Ground Truth: joy, Predicted: joy
Sample 145: Ground Truth: neutral, Predicted: neutral
Sample 146: Ground Truth: surprise, Predicted: surprise
Sample 147: Ground Truth: surprise, Predicted: anger
Sample 148: Ground Truth: neutral, Predicted: neutral
Sample 149: Ground Truth: fear, Predicted: anger
Sample 150: Ground Truth: joy, Predicted: joy
Sample 151: Ground Truth: neutral, Predicted: sadness
Sample 152: Ground Truth: joy, Predicted: neutral
Sample 153: Ground Truth: joy, Predicted: neutral
Sample 154: Ground Truth: surprise, Predicted: surprise
Sample 155: Ground Truth: sadness, Predicted: joy
Sample 156: Ground Truth: sadness, Predicted: neutral
Sample 157: Ground Truth: joy, Predicted: neutral
Sample 158: Ground Truth: neutral, Predicted: anger
Sample 159: Ground Truth: neutral, Predicted: joy
Sample 160: Ground Truth: neutral, Predicted: anger
Sample 161: Ground Truth: sadness, Predicted: anger
Sample 162: Ground Truth: sadness, Predicted: neutral
Sample 163: Ground Truth: anger, Predicted: neutral
Sample 164: Ground Truth: anger, Predicted: neutral
Sample 165: Ground Truth: neutral, Predicted: joy
Sample 166: Ground Truth: neutral, Predicted: surprise
Sample 167: Ground Truth: anger, Predicted: concern
Sample 168: Ground Truth: anger, Predicted: neutral
Sample 169: Ground Truth: anger, Predicted: joy
Sample 170: Ground Truth: neutral, Predicted: neutral
Sample 171: Ground Truth: neutral, Predicted: neutral
Sample 172: Ground Truth: neutral, Predicted: neutral
Sample 173: Ground Truth: surprise, Predicted: surprise
Sample 174: Ground Truth: anger, Predicted: anger
Sample 175: Ground Truth: anger, Predicted: anger
Sample 176: Ground Truth: joy, Predicted: sadness
Sample 177: Ground Truth: neutral, Predicted: neutral
Sample 178: Ground Truth: neutral, Predicted: neutral
Sample 179: Ground Truth: neutral, Predicted: sadness
Sample 180: Ground Truth: neutral, Predicted: joy
Sample 181: Ground Truth: anger, Predicted: disgust
Sample 182: Ground Truth: surprise, Predicted: anger
Sample 183: Ground Truth: neutral, Predicted: neutral
Sample 184: Ground Truth: anger, Predicted: anger
Sample 185: Ground Truth: anger, Predicted: disgust
Sample 186: Ground Truth: disgust, Predicted: joy
Sample 187: Ground Truth: neutral, Predicted: surprise
Sample 188: Ground Truth: neutral, Predicted: anger
Sample 189: Ground Truth: neutral, Predicted: neutral
Sample 190: Ground Truth: joy, Predicted: joy

EVALUATION METRICS
=================

Overall Accuracy: 0.32
Label: anger -> Precision: 0.26, Recall: 0.29, F1 Score: 0.27, Support: 28
Label: disgust -> Precision: 0.33, Recall: 0.20, F1 Score: 0.25, Support: 15
Label: sadness -> Precision: 0.24, Recall: 0.30, F1 Score: 0.27, Support: 20
Label: joy -> Precision: 0.32, Recall: 0.57, F1 Score: 0.41, Support: 23
Label: neutral -> Precision: 0.43, Recall: 0.34, F1 Score: 0.38, Support: 67
Label: surprise -> Precision: 0.42, Recall: 0.33, F1 Score: 0.37, Support: 24
Label: fear -> Precision: 0.14, Recall: 0.07, F1 Score: 0.10, Support: 14
