PREDICTION RESULTS
=================

Sample 0: Ground Truth: sadness, Predicted: sadness
Sample 43: Ground Truth: fear, Predicted: sadness
Sample 44: Ground Truth: disgust, Predicted: neutral
Sample 45: Ground Truth: fear, Predicted: anger
Sample 46: Ground Truth: sadness, Predicted: neutral
Sample 47: Ground Truth: sadness, Predicted: surprise
Sample 48: Ground Truth: joy, Predicted: joy
Sample 49: Ground Truth: neutral, Predicted: fear
Sample 50: Ground Truth: neutral, Predicted: neutral
Sample 51: Ground Truth: sadness, Predicted: sadness
Sample 52: Ground Truth: sadness, Predicted: surprise
Sample 53: Ground Truth: surprise, Predicted: surprise
Sample 54: Ground Truth: neutral, Predicted: neutral
Sample 55: Ground Truth: surprise, Predicted: surprise
Sample 56: Ground Truth: neutral, Predicted: sadness
Sample 57: Ground Truth: disgust, Predicted: disgust
Sample 58: Ground Truth: joy, Predicted: neutral
Sample 59: Ground Truth: neutral, Predicted: neutral
Sample 60: Ground Truth: sadness, Predicted: sadness
Sample 61: Ground Truth: surprise, Predicted: neutral
Sample 62: Ground Truth: disgust, Predicted: disgust
Sample 63: Ground Truth: anger, Predicted: joy
Sample 64: Ground Truth: anger, Predicted: anger
Sample 65: Ground Truth: fear, Predicted: neutral
Sample 66: Ground Truth: neutral, Predicted: neutral
Sample 67: Ground Truth: sadness, Predicted: neutral
Sample 68: Ground Truth: neutral, Predicted: neutral
Sample 69: Ground Truth: surprise, Predicted: surprise
Sample 70: Ground Truth: disgust, Predicted: neutral
Sample 71: Ground Truth: neutral, Predicted: neutral
Sample 72: Ground Truth: anger, Predicted: surprise
Sample 73: Ground Truth: neutral, Predicted: joy
Sample 74: Ground Truth: anger, Predicted: neutral
Sample 75: Ground Truth: anger, Predicted: neutral
Sample 76: Ground Truth: sadness, Predicted: neutral
Sample 77: Ground Truth: neutral, Predicted: sadness
Sample 78: Ground Truth: neutral, Predicted: neutral
Sample 79: Ground Truth: anger, Predicted: neutral
Sample 80: Ground Truth: surprise, Predicted: surprise
Sample 81: Ground Truth: disgust, Predicted: anger
Sample 82: Ground Truth: anger, Predicted: surprise
Sample 83: Ground Truth: disgust, Predicted: anger
Sample 84: Ground Truth: neutral, Predicted: neutral
Sample 85: Ground Truth: surprise, Predicted: surprise
Sample 86: Ground Truth: neutral, Predicted: neutral
Sample 87: Ground Truth: surprise, Predicted: surprise
Sample 88: Ground Truth: neutral, Predicted: neutral
Sample 89: Ground Truth: surprise, Predicted: surprise
Sample 90: Ground Truth: neutral, Predicted: joy
Sample 91: Ground Truth: sadness, Predicted: joy
Sample 92: Ground Truth: neutral, Predicted: sadness
Sample 93: Ground Truth: neutral, Predicted: neutral
Sample 94: Ground Truth: neutral, Predicted: neutral
Sample 95: Ground Truth: disgust, Predicted: anger
Sample 96: Ground Truth: neutral, Predicted: joy
Sample 97: Ground Truth: disgust, Predicted: anger
Sample 98: Ground Truth: joy, Predicted: joy
Sample 99: Ground Truth: neutral, Predicted: neutral
Sample 100: Ground Truth: neutral, Predicted: joy
Sample 101: Ground Truth: joy, Predicted: joy
Sample 102: Ground Truth: neutral, Predicted: neutral
Sample 103: Ground Truth: sadness, Predicted: disgust
Sample 104: Ground Truth: fear, Predicted: fear
Sample 105: Ground Truth: neutral, Predicted: neutral
Sample 106: Ground Truth: joy, Predicted: joy
Sample 107: Ground Truth: neutral, Predicted: surprise
Sample 108: Ground Truth: fear, Predicted: sadness
Sample 109: Ground Truth: surprise, Predicted: surprise
Sample 110: Ground Truth: surprise, Predicted: disgust
Sample 111: Ground Truth: anger, Predicted: anger
Sample 112: Ground Truth: joy, Predicted: neutral
Sample 113: Ground Truth: joy, Predicted: neutral
Sample 114: Ground Truth: anger, Predicted: disgust
Sample 115: Ground Truth: neutral, Predicted: neutral
Sample 116: Ground Truth: disgust, Predicted: disgust
Sample 117: Ground Truth: neutral, Predicted: neutral
Sample 118: Ground Truth: joy, Predicted: neutral
Sample 119: Ground Truth: surprise, Predicted: surprise
Sample 120: Ground Truth: neutral, Predicted: neutral
Sample 121: Ground Truth: anger, Predicted: joy
Sample 122: Ground Truth: neutral, Predicted: anger
Sample 123: Ground Truth: neutral, Predicted: neutral
Sample 124: Ground Truth: neutral, Predicted: neutral
Sample 125: Ground Truth: neutral, Predicted: neutral
Sample 126: Ground Truth: surprise, Predicted: neutral
Sample 127: Ground Truth: sadness, Predicted: neutral
Sample 128: Ground Truth: anger, Predicted: anger
Sample 129: Ground Truth: neutral, Predicted: disgust
Sample 130: Ground Truth: anger, Predicted: anger
Sample 131: Ground Truth: fear, Predicted: neutral
Sample 132: Ground Truth: fear, Predicted: neutral
Sample 133: Ground Truth: neutral, Predicted: neutral
Sample 134: Ground Truth: anger, Predicted: surprise
Sample 135: Ground Truth: surprise, Predicted: neutral
Sample 136: Ground Truth: fear, Predicted: anger
Sample 137: Ground Truth: anger, Predicted: anger
Sample 138: Ground Truth: sadness, Predicted: anger
Sample 139: Ground Truth: neutral, Predicted: joy
Sample 140: Ground Truth: disgust, Predicted: anger
Sample 141: Ground Truth: joy, Predicted: joy
Sample 142: Ground Truth: sadness, Predicted: neutral
Sample 143: Ground Truth: neutral, Predicted: neutral
Sample 144: Ground Truth: joy, Predicted: joy
Sample 145: Ground Truth: neutral, Predicted: joy
Sample 146: Ground Truth: surprise, Predicted: surprise
Sample 147: Ground Truth: surprise, Predicted: anger
Sample 148: Ground Truth: neutral, Predicted: anger
Sample 149: Ground Truth: fear, Predicted: anger
Sample 150: Ground Truth: joy, Predicted: joy
Sample 151: Ground Truth: neutral, Predicted: neutral
Sample 152: Ground Truth: joy, Predicted: surprise
Sample 153: Ground Truth: joy, Predicted: joy
Sample 154: Ground Truth: surprise, Predicted: surprise
Sample 155: Ground Truth: sadness, Predicted: disgust
Sample 156: Ground Truth: sadness, Predicted: neutral
Sample 157: Ground Truth: joy, Predicted: joy
Sample 158: Ground Truth: neutral, Predicted: neutral
Sample 159: Ground Truth: neutral, Predicted: neutral
Sample 160: Ground Truth: neutral, Predicted: neutral
Sample 161: Ground Truth: sadness, Predicted: anger
Sample 162: Ground Truth: sadness, Predicted: neutral
Sample 163: Ground Truth: anger, Predicted: anger
Sample 164: Ground Truth: anger, Predicted: joy
Sample 165: Ground Truth: neutral, Predicted: surprise
Sample 166: Ground Truth: neutral, Predicted: neutral
Sample 167: Ground Truth: anger, Predicted: neutral
Sample 168: Ground Truth: anger, Predicted: joy
Sample 169: Ground Truth: anger, Predicted: neutral
Sample 170: Ground Truth: neutral, Predicted: neutral
Sample 171: Ground Truth: neutral, Predicted: neutral
Sample 172: Ground Truth: neutral, Predicted: neutral
Sample 173: Ground Truth: surprise, Predicted: surprise
Sample 174: Ground Truth: anger, Predicted: anger
Sample 175: Ground Truth: anger, Predicted: anger
Sample 176: Ground Truth: joy, Predicted: neutral
Sample 177: Ground Truth: neutral, Predicted: neutral
Sample 178: Ground Truth: neutral, Predicted: neutral
Sample 179: Ground Truth: neutral, Predicted: neutral
Sample 180: Ground Truth: neutral, Predicted: neutral
Sample 181: Ground Truth: anger, Predicted: anger
Sample 182: Ground Truth: surprise, Predicted: anger
Sample 183: Ground Truth: neutral, Predicted: neutral
Sample 184: Ground Truth: anger, Predicted: anger
Sample 185: Ground Truth: anger, Predicted: disgust
Sample 186: Ground Truth: disgust, Predicted: joy
Sample 187: Ground Truth: neutral, Predicted: neutral
Sample 188: Ground Truth: neutral, Predicted: anger
Sample 189: Ground Truth: neutral, Predicted: neutral
Sample 190: Ground Truth: joy, Predicted: joy

EVALUATION METRICS
=================

Overall Accuracy: 0.50
Label: anger -> Precision: 0.38, Recall: 0.39, F1 Score: 0.39, Support: 28
Label: disgust -> Precision: 0.42, Recall: 0.33, F1 Score: 0.37, Support: 15
Label: sadness -> Precision: 0.42, Recall: 0.25, F1 Score: 0.31, Support: 20
Label: joy -> Precision: 0.45, Recall: 0.57, F1 Score: 0.50, Support: 23
Label: neutral -> Precision: 0.57, Recall: 0.69, F1 Score: 0.63, Support: 67
Label: surprise -> Precision: 0.56, Recall: 0.58, F1 Score: 0.57, Support: 24
Label: fear -> Precision: 0.50, Recall: 0.14, F1 Score: 0.22, Support: 14
