PREDICTION RESULTS
=================

Sample sample_00000023: Ground Truth: angry, Predicted: angry
Sample sample_00001219: Ground Truth: happy, Predicted: happy
Sample sample_00001278: Ground Truth: neutral, Predicted: happy
Sample sample_00001299: Ground Truth: neutral, Predicted: neutral
Sample sample_00001300: Ground Truth: sad, Predicted: sad
Sample sample_00001349: Ground Truth: angry, Predicted: angry
Sample sample_00001369: Ground Truth: happy, Predicted: happy
Sample sample_00001370: Ground Truth: happy, Predicted: happy
Sample sample_00001446: Ground Truth: happy, Predicted: happy
Sample sample_00001450: Ground Truth: neutral, Predicted: surprise
Sample sample_00001458: Ground Truth: sad, Predicted: sad
Sample sample_00001478: Ground Truth: happy, Predicted: happy
Sample sample_00001482: Ground Truth: angry, Predicted: angry
Sample sample_00001495: Ground Truth: worried, Predicted: worried
Sample sample_00001499: Ground Truth: surprise, Predicted: surprise
Sample sample_00001504: Ground Truth: angry, Predicted: angry
Sample sample_00001505: Ground Truth: worried, Predicted: worried
Sample sample_00001528: Ground Truth: angry, Predicted: sad
Sample sample_00001533: Ground Truth: happy, Predicted: happy
Sample sample_00001552: Ground Truth: sad, Predicted: sad
Sample sample_00001553: Ground Truth: angry, Predicted: fear
Sample sample_00001577: Ground Truth: neutral, Predicted: surprise
Sample sample_00001651: Ground Truth: surprise, Predicted: surprise
Sample sample_00001659: Ground Truth: surprise, Predicted: surprise
Sample sample_00001689: Ground Truth: sad, Predicted: sad
Sample sample_00001727: Ground Truth: surprise, Predicted: surprise
Sample sample_00001735: Ground Truth: sad, Predicted: sad
Sample sample_00001789: Ground Truth: happy, Predicted: happy
Sample sample_00001805: Ground Truth: angry, Predicted: sad
Sample sample_00001822: Ground Truth: angry, Predicted: fear
Sample sample_00001825: Ground Truth: surprise, Predicted: surprise
Sample sample_00001829: Ground Truth: surprise, Predicted: surprise
Sample sample_00001847: Ground Truth: neutral, Predicted: neutral
Sample sample_00001852: Ground Truth: angry, Predicted: angry
Sample sample_00001853: Ground Truth: surprise, Predicted: surprise
Sample sample_00001859: Ground Truth: surprise, Predicted: surprise
Sample sample_00001867: Ground Truth: happy, Predicted: happy
Sample sample_00001909: Ground Truth: sad, Predicted: sad
Sample sample_00001944: Ground Truth: happy, Predicted: happy
Sample sample_00001961: Ground Truth: sad, Predicted: sad
Sample sample_00001962: Ground Truth: worried, Predicted: worried
Sample sample_00001963: Ground Truth: neutral, Predicted: neutral
Sample sample_00001971: Ground Truth: sad, Predicted: sad
Sample sample_00001983: Ground Truth: worried, Predicted: worried
Sample sample_00001987: Ground Truth: contempt, Predicted: contempt
Sample sample_00001989: Ground Truth: sad, Predicted: sad
Sample sample_00002023: Ground Truth: sad, Predicted: sad
Sample sample_00002032: Ground Truth: surprise, Predicted: surprise
Sample sample_00002038: Ground Truth: surprise, Predicted: surprise
Sample sample_00002043: Ground Truth: angry, Predicted: fear
Sample sample_00002133: Ground Truth: happy, Predicted: happy
Sample sample_00002134: Ground Truth: sad, Predicted: sad
Sample sample_00002144: Ground Truth: sad, Predicted: sad
Sample sample_00002159: Ground Truth: angry, Predicted: angry
Sample sample_00002182: Ground Truth: neutral, Predicted: neutral
Sample sample_00002225: Ground Truth: angry, Predicted: angry
Sample sample_00002240: Ground Truth: surprise, Predicted: surprise
Sample sample_00002251: Ground Truth: neutral, Predicted: neutral
Sample sample_00002266: Ground Truth: happy, Predicted: happy
Sample sample_00002301: Ground Truth: worried, Predicted: worried
Sample sample_00002317: Ground Truth: neutral, Predicted: neutral
Sample sample_00002345: Ground Truth: fear, Predicted: fear
Sample sample_00002380: Ground Truth: happy, Predicted: happy
Sample sample_00002412: Ground Truth: angry, Predicted: angry
Sample sample_00002447: Ground Truth: angry, Predicted: happy
Sample sample_00002501: Ground Truth: sad, Predicted: sad
Sample sample_00002529: Ground Truth: sad, Predicted: sad
Sample sample_00002537: Ground Truth: happy, Predicted: happy
Sample sample_00002568: Ground Truth: angry, Predicted: angry
Sample sample_00002596: Ground Truth: surprise, Predicted: surprise
Sample sample_00002599: Ground Truth: worried, Predicted: worried
Sample sample_00002621: Ground Truth: angry, Predicted: angry
Sample sample_00002627: Ground Truth: fear, Predicted: fear
Sample sample_00002656: Ground Truth: happy, Predicted: happy
Sample sample_00002691: Ground Truth: angry, Predicted: angry
Sample sample_00002695: Ground Truth: fear, Predicted: fear
Sample sample_00002706: Ground Truth: fear, Predicted: worried
Sample sample_00002717: Ground Truth: fear, Predicted: fear
Sample sample_00002727: Ground Truth: angry, Predicted: angry
Sample sample_00002734: Ground Truth: angry, Predicted: angry
Sample sample_00002747: Ground Truth: neutral, Predicted: neutral
Sample sample_00002756: Ground Truth: angry, Predicted: angry
Sample sample_00002906: Ground Truth: surprise, Predicted: surprise
Sample sample_00002940: Ground Truth: contempt, Predicted: contempt
Sample sample_00002954: Ground Truth: happy, Predicted: happy
Sample sample_00002997: Ground Truth: happy, Predicted: happy
Sample sample_00002999: Ground Truth: neutral, Predicted: neutral
Sample sample_00003034: Ground Truth: fear, Predicted: fear
Sample sample_00003063: Ground Truth: worried, Predicted: worried
Sample sample_00003067: Ground Truth: happy, Predicted: happy
Sample sample_00003086: Ground Truth: contempt, Predicted: contempt
Sample sample_00003108: Ground Truth: fear, Predicted: fear
Sample sample_00003149: Ground Truth: sad, Predicted: sad
Sample sample_00003179: Ground Truth: happy, Predicted: happy
Sample sample_00003202: Ground Truth: neutral, Predicted: neutral
Sample sample_00003250: Ground Truth: angry, Predicted: angry
Sample sample_00003402: Ground Truth: worried, Predicted: worried
Sample sample_00003409: Ground Truth: angry, Predicted: angry
Sample sample_00003471: Ground Truth: angry, Predicted: angry
Sample sample_00003504: Ground Truth: sad, Predicted: sad
Sample sample_00003507: Ground Truth: sad, Predicted: sad
Sample sample_00003526: Ground Truth: happy, Predicted: happy
Sample sample_00003533: Ground Truth: happy, Predicted: happy
Sample sample_00003537: Ground Truth: surprise, Predicted: surprise
Sample sample_00003714: Ground Truth: angry, Predicted: angry
Sample sample_00003825: Ground Truth: surprise, Predicted: surprise
Sample sample_00003907: Ground Truth: surprise, Predicted: surprise
Sample sample_00003922: Ground Truth: surprise, Predicted: surprise
Sample sample_00003933: Ground Truth: worried, Predicted: worried
Sample sample_00003966: Ground Truth: surprise, Predicted: surprise
Sample sample_00003969: Ground Truth: angry, Predicted: fear
Sample sample_00003972: Ground Truth: angry, Predicted: angry
Sample sample_00004009: Ground Truth: happy, Predicted: happy
Sample sample_00004029: Ground Truth: angry, Predicted: angry
Sample sample_00004055: Ground Truth: worried, Predicted: worried
Sample sample_00004078: Ground Truth: worried, Predicted: worried
Sample sample_00004103: Ground Truth: happy, Predicted: happy
Sample sample_00004112: Ground Truth: surprise, Predicted: happy
Sample sample_00004113: Ground Truth: angry, Predicted: fear
Sample sample_00004117: Ground Truth: neutral, Predicted: neutral
Sample sample_00004119: Ground Truth: angry, Predicted: angry
Sample sample_00004130: Ground Truth: neutral, Predicted: neutral
Sample sample_00004141: Ground Truth: surprise, Predicted: surprise
Sample sample_00004183: Ground Truth: angry, Predicted: angry
Sample sample_00004221: Ground Truth: worried, Predicted: worried
Sample sample_00004250: Ground Truth: happy, Predicted: happy
Sample sample_00004251: Ground Truth: surprise, Predicted: surprise
Sample sample_00004267: Ground Truth: angry, Predicted: angry
Sample sample_00004283: Ground Truth: angry, Predicted: angry
Sample sample_00004314: Ground Truth: angry, Predicted: angry
Sample sample_00004315: Ground Truth: sad, Predicted: sad
Sample sample_00004331: Ground Truth: neutral, Predicted: neutral
Sample sample_00004408: Ground Truth: angry, Predicted: angry
Sample sample_00004437: Ground Truth: neutral, Predicted: happy
Sample sample_00004488: Ground Truth: angry, Predicted: fear
Sample sample_00004491: Ground Truth: worried, Predicted: worried
Sample sample_00004505: Ground Truth: surprise, Predicted: surprise
Sample sample_00004562: Ground Truth: neutral, Predicted: neutral
Sample sample_00004596: Ground Truth: angry, Predicted: angry
Sample sample_00004631: Ground Truth: worried, Predicted: worried
Sample sample_00004665: Ground Truth: angry, Predicted: angry
Sample sample_00004718: Ground Truth: angry, Predicted: angry
Sample sample_00004757: Ground Truth: angry, Predicted: angry
Sample sample_00004791: Ground Truth: happy, Predicted: happy
Sample sample_00004821: Ground Truth: worried, Predicted: worried
Sample sample_00004854: Ground Truth: angry, Predicted: angry
Sample sample_00004965: Ground Truth: happy, Predicted: happy
Sample sample_00004976: Ground Truth: surprise, Predicted: surprise
Sample sample_00004993: Ground Truth: happy, Predicted: happy
Sample sample_00004995: Ground Truth: surprise, Predicted: surprise
Sample sample_00005015: Ground Truth: worried, Predicted: fear
Sample sample_00005027: Ground Truth: angry, Predicted: angry
Sample sample_00005031: Ground Truth: angry, Predicted: angry
Sample sample_00005049: Ground Truth: angry, Predicted: angry
Sample sample_00005055: Ground Truth: angry, Predicted: worried
Sample sample_00005197: Ground Truth: angry, Predicted: angry
Sample sample_00005202: Ground Truth: angry, Predicted: angry
Sample sample_00005205: Ground Truth: surprise, Predicted: surprise
Sample sample_00005242: Ground Truth: sad, Predicted: fear
Sample sample_00005250: Ground Truth: angry, Predicted: angry
Sample sample_00005312: Ground Truth: neutral, Predicted: neutral
Sample sample_00005315: Ground Truth: contempt, Predicted: contempt
Sample sample_00005338: Ground Truth: sad, Predicted: sad
Sample sample_00005346: Ground Truth: neutral, Predicted: neutral
Sample sample_00005349: Ground Truth: neutral, Predicted: neutral
Sample sample_00005358: Ground Truth: sad, Predicted: sad
Sample sample_00005365: Ground Truth: sad, Predicted: fear
Sample sample_00005406: Ground Truth: angry, Predicted: angry
Sample sample_00005416: Ground Truth: angry, Predicted: fear
Sample sample_00005419: Ground Truth: angry, Predicted: angry
Sample sample_00005432: Ground Truth: happy, Predicted: happy
Sample sample_00005471: Ground Truth: angry, Predicted: angry
Sample sample_00005543: Ground Truth: sad, Predicted: sad
Sample sample_00005570: Ground Truth: angry, Predicted: worried
Sample sample_00005661: Ground Truth: angry, Predicted: angry
Sample sample_00005671: Ground Truth: angry, Predicted: angry
Sample sample_00005725: Ground Truth: sad, Predicted: sad
Sample sample_00005726: Ground Truth: happy, Predicted: happy
Sample sample_00005729: Ground Truth: surprise, Predicted: surprise
Sample sample_00005768: Ground Truth: happy, Predicted: happy
Sample sample_00005812: Ground Truth: angry, Predicted: angry
Sample sample_00005861: Ground Truth: worried, Predicted: worried
Sample sample_00005870: Ground Truth: angry, Predicted: angry
Sample sample_00005871: Ground Truth: surprise, Predicted: surprise
Sample sample_00005877: Ground Truth: angry, Predicted: angry
Sample sample_00005909: Ground Truth: worried, Predicted: worried
Sample sample_00005921: Ground Truth: doubt, Predicted: doubt
Sample sample_00005929: Ground Truth: surprise, Predicted: surprise
Sample sample_00005949: Ground Truth: worried, Predicted: worried
Sample sample_00006012: Ground Truth: surprise, Predicted: surprise
Sample sample_00006074: Ground Truth: angry, Predicted: angry
Sample sample_00006124: Ground Truth: worried, Predicted: angry
Sample sample_00006131: Ground Truth: angry, Predicted: angry
Sample sample_00006147: Ground Truth: angry, Predicted: angry
Sample sample_00006149: Ground Truth: neutral, Predicted: neutral
Sample sample_00006240: Ground Truth: angry, Predicted: angry
Sample sample_00006266: Ground Truth: angry, Predicted: angry
Sample sample_00006279: Ground Truth: surprise, Predicted: surprise
Sample sample_00006288: Ground Truth: happy, Predicted: happy
Sample sample_00006322: Ground Truth: neutral, Predicted: neutral
Sample sample_00006333: Ground Truth: angry, Predicted: angry
Sample sample_00006405: Ground Truth: worried, Predicted: worried
Sample sample_00006414: Ground Truth: sad, Predicted: sad
Sample sample_00006455: Ground Truth: surprise, Predicted: surprise
Sample sample_00006471: Ground Truth: angry, Predicted: angry
Sample sample_00006571: Ground Truth: neutral, Predicted: neutral
Sample sample_00006634: Ground Truth: sad, Predicted: sad
Sample sample_00006705: Ground Truth: happy, Predicted: happy
Sample sample_00006737: Ground Truth: angry, Predicted: angry
Sample sample_00006758: Ground Truth: worried, Predicted: worried
Sample sample_00006790: Ground Truth: angry, Predicted: angry
Sample sample_00006794: Ground Truth: angry, Predicted: angry
Sample sample_00006825: Ground Truth: surprise, Predicted: surprise
Sample sample_00006947: Ground Truth: angry, Predicted: angry
Sample sample_00006951: Ground Truth: angry, Predicted: angry
Sample sample_00006966: Ground Truth: sad, Predicted: fear
Sample sample_00006973: Ground Truth: happy, Predicted: happy
Sample sample_00006988: Ground Truth: fear, Predicted: fear
Sample sample_00007024: Ground Truth: happy, Predicted: happy
Sample samplenew_00000007: Ground Truth: fear, Predicted: fear
Sample samplenew_00000011: Ground Truth: worried, Predicted: worried
Sample samplenew_00000026: Ground Truth: happy, Predicted: happy
Sample samplenew_00000035: Ground Truth: happy, Predicted: happy
Sample samplenew_00000063: Ground Truth: sad, Predicted: neutral
Sample samplenew_00000079: Ground Truth: angry, Predicted: happy
Sample samplenew_00000087: Ground Truth: happy, Predicted: happy
Sample samplenew_00000123: Ground Truth: angry, Predicted: worried
Sample samplenew_00000124: Ground Truth: sad, Predicted: sad
Sample samplenew_00000145: Ground Truth: sad, Predicted: sad
Sample samplenew_00000165: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00000174: Ground Truth: sad, Predicted: sad
Sample samplenew_00000230: Ground Truth: happy, Predicted: happy
Sample samplenew_00000250: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00000274: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00000309: Ground Truth: sad, Predicted: sad
Sample samplenew_00000336: Ground Truth: sad, Predicted: sad
Sample samplenew_00000339: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00000344: Ground Truth: angry, Predicted: angry
Sample samplenew_00000352: Ground Truth: sad, Predicted: sad
Sample samplenew_00000361: Ground Truth: angry, Predicted: worried
Sample samplenew_00000390: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00000396: Ground Truth: angry, Predicted: angry
Sample samplenew_00000434: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00000523: Ground Truth: sad, Predicted: sad
Sample samplenew_00000583: Ground Truth: angry, Predicted: angry
Sample samplenew_00000597: Ground Truth: angry, Predicted: worried
Sample samplenew_00000665: Ground Truth: happy, Predicted: happy
Sample samplenew_00000690: Ground Truth: worried, Predicted: worried
Sample samplenew_00000734: Ground Truth: happy, Predicted: happy
Sample samplenew_00000735: Ground Truth: sad, Predicted: sad
Sample samplenew_00000756: Ground Truth: angry, Predicted: angry
Sample samplenew_00000764: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00000772: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00000790: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00000805: Ground Truth: sad, Predicted: sad
Sample samplenew_00000809: Ground Truth: angry, Predicted: angry
Sample samplenew_00000850: Ground Truth: sad, Predicted: sad
Sample samplenew_00000852: Ground Truth: fear, Predicted: fear
Sample samplenew_00000887: Ground Truth: angry, Predicted: angry
Sample samplenew_00000980: Ground Truth: happy, Predicted: happy
Sample samplenew_00000989: Ground Truth: angry, Predicted: angry
Sample samplenew_00001021: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001028: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001046: Ground Truth: angry, Predicted: worried
Sample samplenew_00001054: Ground Truth: worried, Predicted: worried
Sample samplenew_00001072: Ground Truth: angry, Predicted: angry
Sample samplenew_00001081: Ground Truth: sad, Predicted: worried
Sample samplenew_00001083: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001092: Ground Truth: angry, Predicted: angry
Sample samplenew_00001113: Ground Truth: worried, Predicted: worried
Sample samplenew_00001144: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001156: Ground Truth: angry, Predicted: happy
Sample samplenew_00001157: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001197: Ground Truth: happy, Predicted: happy
Sample samplenew_00001209: Ground Truth: fear, Predicted: fear
Sample samplenew_00001235: Ground Truth: sad, Predicted: sad
Sample samplenew_00001334: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001346: Ground Truth: happy, Predicted: happy
Sample samplenew_00001349: Ground Truth: sad, Predicted: sad
Sample samplenew_00001359: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001370: Ground Truth: fear, Predicted: fear
Sample samplenew_00001390: Ground Truth: sad, Predicted: sad
Sample samplenew_00001395: Ground Truth: sad, Predicted: sad
Sample samplenew_00001402: Ground Truth: worried, Predicted: worried
Sample samplenew_00001429: Ground Truth: neutral, Predicted: sad
Sample samplenew_00001442: Ground Truth: angry, Predicted: angry
Sample samplenew_00001448: Ground Truth: sad, Predicted: sad
Sample samplenew_00001451: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001452: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001453: Ground Truth: angry, Predicted: angry
Sample samplenew_00001459: Ground Truth: sad, Predicted: fear
Sample samplenew_00001460: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001488: Ground Truth: sad, Predicted: sad
Sample samplenew_00001491: Ground Truth: sad, Predicted: sad
Sample samplenew_00001561: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001599: Ground Truth: angry, Predicted: angry
Sample samplenew_00001601: Ground Truth: sad, Predicted: sad
Sample samplenew_00001650: Ground Truth: angry, Predicted: angry
Sample samplenew_00001658: Ground Truth: angry, Predicted: angry
Sample samplenew_00001687: Ground Truth: angry, Predicted: angry
Sample samplenew_00001700: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001712: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001732: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001742: Ground Truth: happy, Predicted: happy
Sample samplenew_00001752: Ground Truth: worried, Predicted: worried
Sample samplenew_00001758: Ground Truth: angry, Predicted: angry
Sample samplenew_00001774: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001787: Ground Truth: sad, Predicted: sad
Sample samplenew_00001806: Ground Truth: angry, Predicted: angry
Sample samplenew_00001809: Ground Truth: sad, Predicted: sad
Sample samplenew_00001818: Ground Truth: fear, Predicted: fear
Sample samplenew_00001819: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001853: Ground Truth: happy, Predicted: happy
Sample samplenew_00001879: Ground Truth: happy, Predicted: happy
Sample samplenew_00001896: Ground Truth: sad, Predicted: sad
Sample samplenew_00001901: Ground Truth: happy, Predicted: happy
Sample samplenew_00001913: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001935: Ground Truth: sad, Predicted: sad
Sample samplenew_00001941: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00001961: Ground Truth: sad, Predicted: sad
Sample samplenew_00001965: Ground Truth: sad, Predicted: sad
Sample samplenew_00001979: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00001985: Ground Truth: sad, Predicted: sad
Sample samplenew_00001993: Ground Truth: happy, Predicted: happy
Sample samplenew_00001999: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00002012: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002041: Ground Truth: fear, Predicted: fear
Sample samplenew_00002062: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002064: Ground Truth: sad, Predicted: sad
Sample samplenew_00002080: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002085: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002103: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002108: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002181: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002186: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00002189: Ground Truth: sad, Predicted: sad
Sample samplenew_00002194: Ground Truth: sad, Predicted: worried
Sample samplenew_00002201: Ground Truth: sad, Predicted: sad
Sample samplenew_00002202: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002237: Ground Truth: sad, Predicted: sad
Sample samplenew_00002244: Ground Truth: sad, Predicted: sad
Sample samplenew_00002266: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002267: Ground Truth: happy, Predicted: happy
Sample samplenew_00002269: Ground Truth: sad, Predicted: sad
Sample samplenew_00002271: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002289: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002291: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002294: Ground Truth: happy, Predicted: happy
Sample samplenew_00002299: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002330: Ground Truth: happy, Predicted: happy
Sample samplenew_00002353: Ground Truth: sad, Predicted: sad
Sample samplenew_00002367: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002368: Ground Truth: angry, Predicted: angry
Sample samplenew_00002374: Ground Truth: worried, Predicted: worried
Sample samplenew_00002396: Ground Truth: happy, Predicted: happy
Sample samplenew_00002421: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002426: Ground Truth: fear, Predicted: fear
Sample samplenew_00002461: Ground Truth: sad, Predicted: sad
Sample samplenew_00002492: Ground Truth: angry, Predicted: angry
Sample samplenew_00002503: Ground Truth: fear, Predicted: fear
Sample samplenew_00002509: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002530: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00002537: Ground Truth: angry, Predicted: angry
Sample samplenew_00002573: Ground Truth: sad, Predicted: fear
Sample samplenew_00002599: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00002609: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002616: Ground Truth: sad, Predicted: sad
Sample samplenew_00002627: Ground Truth: angry, Predicted: angry
Sample samplenew_00002628: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002639: Ground Truth: happy, Predicted: happy
Sample samplenew_00002679: Ground Truth: worried, Predicted: worried
Sample samplenew_00002700: Ground Truth: sad, Predicted: sad
Sample samplenew_00002739: Ground Truth: happy, Predicted: happy
Sample samplenew_00002757: Ground Truth: sad, Predicted: sad
Sample samplenew_00002759: Ground Truth: happy, Predicted: happy
Sample samplenew_00002789: Ground Truth: sad, Predicted: sad
Sample samplenew_00002793: Ground Truth: fear, Predicted: worried
Sample samplenew_00002796: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002799: Ground Truth: sad, Predicted: sad
Sample samplenew_00002804: Ground Truth: angry, Predicted: angry
Sample samplenew_00002816: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002825: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002828: Ground Truth: sad, Predicted: sad
Sample samplenew_00002861: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00002863: Ground Truth: doubt, Predicted: doubt
Sample samplenew_00002865: Ground Truth: sad, Predicted: sad
Sample samplenew_00002876: Ground Truth: happy, Predicted: happy
Sample samplenew_00002879: Ground Truth: sad, Predicted: sad
Sample samplenew_00002887: Ground Truth: worried, Predicted: worried
Sample samplenew_00002958: Ground Truth: angry, Predicted: fear
Sample samplenew_00002960: Ground Truth: angry, Predicted: fear
Sample samplenew_00002967: Ground Truth: angry, Predicted: angry
Sample samplenew_00002989: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00003006: Ground Truth: worried, Predicted: worried
Sample samplenew_00003026: Ground Truth: happy, Predicted: happy
Sample samplenew_00003044: Ground Truth: worried, Predicted: worried
Sample samplenew_00003045: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00003052: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00003063: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00003072: Ground Truth: worried, Predicted: worried
Sample samplenew_00003093: Ground Truth: sad, Predicted: sad
Sample samplenew_00003103: Ground Truth: sad, Predicted: fear
Sample samplenew_00003142: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00003165: Ground Truth: sad, Predicted: fear
Sample samplenew_00003171: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00003174: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00003177: Ground Truth: fear, Predicted: sad
Sample samplenew_00003189: Ground Truth: worried, Predicted: worried
Sample samplenew_00003249: Ground Truth: happy, Predicted: happy
Sample samplenew_00003259: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00003273: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00003292: Ground Truth: sad, Predicted: sad
Sample samplenew_00003302: Ground Truth: sad, Predicted: sad
Sample samplenew_00003326: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00003350: Ground Truth: sad, Predicted: fear
Sample samplenew_00003384: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00003402: Ground Truth: sad, Predicted: fear
Sample samplenew_00003407: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00003418: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00003441: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00003460: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00003483: Ground Truth: angry, Predicted: angry
Sample samplenew_00003514: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00003525: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00003540: Ground Truth: happy, Predicted: happy
Sample samplenew_00003543: Ground Truth: angry, Predicted: angry
