video_id,ground_truth,tav_prediction,tav_confidence,tav_emotions
sample_00001646.mp4,angry,angry,75,"[{'emotion': 'angry', 'confidence': 75}, {'emotion': 'worried', 'confidence': 60}, {'emotion': 'fear', 'confidence': 40}]"
sample_00003709.mp4,worried,angry,70,"[{'emotion': 'angry', 'confidence': 70}, {'emotion': 'worried', 'confidence': 60}, {'emotion': 'contempt', 'confidence': 45}, {'emotion': 'sad', 'confidence': 28}, {'emotion': 'fear', 'confidence': 15}, {'emotion': 'surprise', 'confidence': 15}, {'emotion': 'neutral', 'confidence': 12}, {'emotion': 'doubt', 'confidence': 10}, {'emotion': 'happy', 'confidence': 5}]"
sample_00001485.mp4,angry,worried,78,"[{'emotion': 'worried', 'confidence': 78}, {'emotion': 'neutral', 'confidence': 65}, {'emotion': 'surprise', 'confidence': 30}]"
sample_00003245.mp4,neutral,happy,85,"[{'emotion': 'happy', 'confidence': 85}, {'emotion': 'surprise', 'confidence': 40}, {'emotion': 'worried', 'confidence': 30}, {'emotion': 'neutral', 'confidence': 25}, {'emotion': 'sad', 'confidence': 15}, {'emotion': 'fear', 'confidence': 10}, {'emotion': 'doubt', 'confidence': 8}, {'emotion': 'angry', 'confidence': 5}, {'emotion': 'contempt', 'confidence': 3}]"
sample_00004936.mp4,neutral,happy,85,"[{'emotion': 'happy', 'confidence': 85}, {'emotion': 'surprise', 'confidence': 60}, {'emotion': 'worried', 'confidence': 20}, {'emotion': 'neutral', 'confidence': 15}, {'emotion': 'fear', 'confidence': 10}, {'emotion': 'sad', 'confidence': 8}, {'emotion': 'angry', 'confidence': 6}, {'emotion': 'doubt', 'confidence': 6}, {'emotion': 'contempt', 'confidence': 4}]"
sample_00001682.mp4,angry,neutral,85,"[{'emotion': 'neutral', 'confidence': 85}, {'emotion': 'worried', 'confidence': 40}, {'emotion': 'happy', 'confidence': 25}, {'emotion': 'doubt', 'confidence': 20}, {'emotion': 'surprise', 'confidence': 15}, {'emotion': 'sad', 'confidence': 10}, {'emotion': 'fear', 'confidence': 5}, {'emotion': 'angry', 'confidence': 5}, {'emotion': 'contempt', 'confidence': 5}]"
sample_00001133.mp4,angry,angry,88,"[{'emotion': 'angry', 'confidence': 88}, {'emotion': 'contempt', 'confidence': 65}, {'emotion': 'surprise', 'confidence': 45}, {'emotion': 'worried', 'confidence': 20}]"
sample_00000832.mp4,angry,angry,80,"[{'emotion': 'angry', 'confidence': 80}, {'emotion': 'worried', 'confidence': 65}, {'emotion': 'neutral', 'confidence': 55}, {'emotion': 'fear', 'confidence': 40}, {'emotion': 'surprise', 'confidence': 35}, {'emotion': 'contempt', 'confidence': 20}, {'emotion': 'doubt', 'confidence': 15}, {'emotion': 'sad', 'confidence': 10}, {'emotion': 'happy', 'confidence': 5}]"
sample_00005430.mp4,sad,neutral,90,"[{'emotion': 'neutral', 'confidence': 90}]"
sample_00005626.mp4,sad,worried,82,"[{'emotion': 'worried', 'confidence': 82}, {'emotion': 'sad', 'confidence': 55}, {'emotion': 'neutral', 'confidence': 40}, {'emotion': 'fear', 'confidence': 30}, {'emotion': 'surprise', 'confidence': 25}, {'emotion': 'doubt', 'confidence': 20}, {'emotion': 'angry', 'confidence': 15}, {'emotion': 'contempt', 'confidence': 10}, {'emotion': 'happy', 'confidence': 8}]"
sample_00001454.mp4,neutral,worried,75,"[{'emotion': 'worried', 'confidence': 75}, {'emotion': 'angry', 'confidence': 65}, {'emotion': 'surprise', 'confidence': 50}, {'emotion': 'neutral', 'confidence': 40}, {'emotion': 'doubt', 'confidence': 35}]"
sample_00006298.mp4,sad,surprise,85,"[{'emotion': 'surprise', 'confidence': 85}, {'emotion': 'doubt', 'confidence': 40}]"
sample_00006717.mp4,happy,happy,92,"[{'emotion': 'happy', 'confidence': 92}, {'emotion': 'surprise', 'confidence': 85}]"
sample_00003652.mp4,worried,worried,85,"[{'emotion': 'worried', 'confidence': 85}, {'emotion': 'sad', 'confidence': 30}, {'emotion': 'surprise', 'confidence': 20}]"
sample_00006500.mp4,sad,happy,85,"[{'emotion': 'happy', 'confidence': 85}, {'emotion': 'surprise', 'confidence': 60}]"
sample_00004288.mp4,worried,worried,85,"[{'emotion': 'worried', 'confidence': 85}, {'emotion': 'fear', 'confidence': 45}, {'emotion': 'surprise', 'confidence': 35}, {'emotion': 'angry', 'confidence': 25}, {'emotion': 'sad', 'confidence': 15}, {'emotion': 'doubt', 'confidence': 10}, {'emotion': 'neutral', 'confidence': 5}, {'emotion': 'happy', 'confidence': 5}, {'emotion': 'contempt', 'confidence': 5}]"
sample_00005828.mp4,surprise,neutral,85,"[{'emotion': 'neutral', 'confidence': 85}, {'emotion': 'worried', 'confidence': 40}, {'emotion': 'sad', 'confidence': 25}, {'emotion': 'surprise', 'confidence': 15}]"
sample_00001667.mp4,happy,neutral,70,"[{'emotion': 'neutral', 'confidence': 70}, {'emotion': 'surprise', 'confidence': 60}, {'emotion': 'happy', 'confidence': 25}]"
sample_00000143.mp4,angry,neutral,70,"[{'emotion': 'neutral', 'confidence': 70}, {'emotion': 'surprise', 'confidence': 55}, {'emotion': 'happy', 'confidence': 40}, {'emotion': 'worried', 'confidence': 25}, {'emotion': 'doubt', 'confidence': 20}, {'emotion': 'fear', 'confidence': 10}, {'emotion': 'angry', 'confidence': 10}, {'emotion': 'sad', 'confidence': 5}, {'emotion': 'contempt', 'confidence': 5}]"
sample_00006903.mp4,happy,happy,92,"[{'emotion': 'happy', 'confidence': 92}, {'emotion': 'surprise', 'confidence': 50}]"
sample_00005576.mp4,neutral,happy,75,"[{'emotion': 'happy', 'confidence': 75}, {'emotion': 'surprise', 'confidence': 70}]"
sample_00002972.mp4,surprise,surprise,75,"[{'emotion': 'surprise', 'confidence': 75}, {'emotion': 'happy', 'confidence': 65}, {'emotion': 'worried', 'confidence': 50}, {'emotion': 'neutral', 'confidence': 40}, {'emotion': 'sad', 'confidence': 25}, {'emotion': 'fear', 'confidence': 25}, {'emotion': 'doubt', 'confidence': 20}, {'emotion': 'angry', 'confidence': 15}, {'emotion': 'contempt', 'confidence': 5}]"
sample_00002806.mp4,worried,happy,92,"[{'emotion': 'happy', 'confidence': 92}, {'emotion': 'worried', 'confidence': 45}, {'emotion': 'doubt', 'confidence': 40}, {'emotion': 'sad', 'confidence': 15}, {'emotion': 'surprise', 'confidence': 10}, {'emotion': 'neutral', 'confidence': 5}, {'emotion': 'fear', 'confidence': 6}, {'emotion': 'angry', 'confidence': 5}, {'emotion': 'contempt', 'confidence': 3}]"
sample_00000754.mp4,sad,worried,75,"[{'emotion': 'worried', 'confidence': 75}, {'emotion': 'surprise', 'confidence': 60}, {'emotion': 'sad', 'confidence': 50}, {'emotion': 'angry', 'confidence': 40}, {'emotion': 'fear', 'confidence': 25}, {'emotion': 'neutral', 'confidence': 15}, {'emotion': 'doubt', 'confidence': 10}, {'emotion': 'contempt', 'confidence': 5}, {'emotion': 'happy', 'confidence': 5}]"
sample_00005573.mp4,worried,neutral,85,"[{'emotion': 'neutral', 'confidence': 85}, {'emotion': 'worried', 'confidence': 40}, {'emotion': 'surprise', 'confidence': 25}, {'emotion': 'sad', 'confidence': 22}]"
sample_00002787.mp4,happy,happy,95,"[{'emotion': 'happy', 'confidence': 95}]"
sample_00006939.mp4,surprise,neutral,70,"[{'emotion': 'neutral', 'confidence': 70}, {'emotion': 'sad', 'confidence': 35}, {'emotion': 'worried', 'confidence': 25}]"
sample_00005217.mp4,neutral,surprise,75,"[{'emotion': 'surprise', 'confidence': 75}, {'emotion': 'neutral', 'confidence': 60}]"
sample_00004726.mp4,sad,doubt,88,"[{'emotion': 'doubt', 'confidence': 88}, {'emotion': 'worried', 'confidence': 85}, {'emotion': 'sad', 'confidence': 70}, {'emotion': 'fear', 'confidence': 60}]"
sample_00001837.mp4,sad,worried,75,"[{'emotion': 'worried', 'confidence': 75}, {'emotion': 'sad', 'confidence': 60}, {'emotion': 'fear', 'confidence': 55}, {'emotion': 'neutral', 'confidence': 40}]"
sample_00006816.mp4,worried,happy,85,"[{'emotion': 'happy', 'confidence': 85}, {'emotion': 'neutral', 'confidence': 60}]"
sample_00005474.mp4,happy,happy,92,"[{'emotion': 'happy', 'confidence': 92}, {'emotion': 'surprise', 'confidence': 60}]"
sample_00002680.mp4,angry,angry,75,"[{'emotion': 'angry', 'confidence': 75}, {'emotion': 'surprise', 'confidence': 65}, {'emotion': 'worried', 'confidence': 60}, {'emotion': 'neutral', 'confidence': 50}]"
sample_00004145.mp4,neutral,surprise,70,"[{'emotion': 'surprise', 'confidence': 70}, {'emotion': 'worried', 'confidence': 55}, {'emotion': 'sad', 'confidence': 45}, {'emotion': 'doubt', 'confidence': 40}, {'emotion': 'happy', 'confidence': 25}, {'emotion': 'fear', 'confidence': 25}, {'emotion': 'neutral', 'confidence': 10}]"
sample_00002118.mp4,neutral,surprise,80,"[{'emotion': 'surprise', 'confidence': 80}, {'emotion': 'happy', 'confidence': 60}, {'emotion': 'worried', 'confidence': 35}, {'emotion': 'neutral', 'confidence': 30}, {'emotion': 'doubt', 'confidence': 25}, {'emotion': 'fear', 'confidence': 20}, {'emotion': 'sad', 'confidence': 15}, {'emotion': 'angry', 'confidence': 10}, {'emotion': 'contempt', 'confidence': 5}]"
sample_00003028.mp4,surprise,neutral,88,"[{'emotion': 'neutral', 'confidence': 88}]"
sample_00005897.mp4,angry,happy,85,"[{'emotion': 'happy', 'confidence': 85}]"
sample_00005277.mp4,neutral,neutral,70,"[{'emotion': 'neutral', 'confidence': 70}, {'emotion': 'worried', 'confidence': 25}, {'emotion': 'surprise', 'confidence': 15}, {'emotion': 'sad', 'confidence': 10}, {'emotion': 'doubt', 'confidence': 5}]"
sample_00003773.mp4,surprise,happy,92,"[{'emotion': 'happy', 'confidence': 92}, {'emotion': 'surprise', 'confidence': 68}]"
sample_00005062.mp4,happy,happy,85,"[{'emotion': 'happy', 'confidence': 85}, {'emotion': 'surprise', 'confidence': 60}]"
sample_00006422.mp4,surprise,surprise,75,"[{'emotion': 'surprise', 'confidence': 75}, {'emotion': 'doubt', 'confidence': 60}, {'emotion': 'worried', 'confidence': 55}, {'emotion': 'neutral', 'confidence': 35}]"
